,Event Date 1,Event Date 2,Event-Type 1,Event-Type 2,Event-Type 3,Event-Type 4,Event-Type-health 1,Event-Type-health 2,Event-Type-health 3,Event-Type-health 4,Event-Type-Social 1,Event-Type-Social 2,Event-Type-Social 3,Event-Type-Social 4,Event-Type-Social 5,Event-Type-Social 6,Event-Type-Social 7,Event-Type-Movements 1,Event-Type-Movements 2,Event-Type-Movements 3,Event-Type-Movements 4,Event-Type-Movements 5,Event-Type-Movements 6,Event-Type Security 1,Event-Type Security 2,Event-Type Security 3,Event-Type Security 4,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,City 2,Latitude-city 2_degrees,Latitude-city 2_minutes,Latitude-city 2_seconds,Latitude-city 2_direction,Longitude-city 2_degrees,Longitude-city 2_minutes,Longitude-city 2_seconds,Longitude-city 2_direction,City 3,Latitude-City 3_degrees,Latitude-City 3_minutes,Latitude-City 3_seconds,Latitude-City 3_direction,Longitude-City 3_degrees,Longitude-City 3_minutes,Longitude-City 3_seconds,Longitude-City 3_direction,City 4,Latitude-City 4_degrees,Latitude-City 4_minutes,Latitude-City 4_seconds,Latitude-City 4_direction,Longitude-City 4_degrees,Longitude-City 4_minutes,Longitude-City 4_seconds,Longitude-City 4_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
33,01-08-2020,,Movements,,,,,,,,,,,,,,,Departure by sea,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-08-06,Written press,Arabic,Tunis,TN-11,Tunisia
34,2020-05-19,,Social,,,,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-05-19,Written press,Arabic,,,
35,01-08-2020,,Movements,Social,,,,,,,government actions,,,,,,,Departure by sea,deportation,,,,,,,,,,,,,,5641 (2020) / 858 (2019) / 3351(2018),,,,,1268(2016) / 2125(2017) / 2127(2018) / 1739(2019),TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,TN-52-Monastir,35.0,46,,N,10.0,51.0,,E,TN-53-Mahdia,35.0,30.0,17,N,11.0,3.0,44,E,,,,,,,,,,UK,2020-08-08,Written press,Arabic,Sfax,TN-61,Tunisia
36,2020-08-22,2020-08-23,Movements,,,,,,,,,,,,,,,Rescued at sea,,,,,,,,,,,,300,,200,,,,,,,LY-TB-Tarabulus,32.0,52.0,"30,68",N,13.0,11,"14,86",E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-08-25,Written press,Arabic,tripoli,LY-TB,Libya
37,2020-04-07,,Social,,,,,,,,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-04-07,Written press,Arabic,Tunis,TN-11,Tunisia
38,2020-06-08,,Social,,,,,,,,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-08,Written press,Arabic,Tunis,TN-11,Tunisia
39,2020-06-05,,Movements,,,,,,,,,,,,,,,Departures,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-06-05,Written press,Arabic,,,
40,2020-07-27,2020-07-26,Movements,Social,,,,,,,jobs,OSC actions,,,,,,Departures,Arrival by sea,,,,,,,,,,,,,,11.800,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,,12,35,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,International,2020-07-28,Written press,Arabic,Sicilia,IT-82,Italy
41,2020-07-27,2020-07-28,Movements,,,,,,,,,,,,,,,Arrival by sea,Departure by sea,Rescued at sea,,,,,,,,,,,,100,20,,,,,,IT-82-Sicilia => Lampedusa,35.0,31.0,,N,,12,35,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-07-28,Written press,Arabic,Sicilia,IT-82,Italy
42,2020-07-27,,Movements,,,,,,,,,,,,,,,Rescued at sea,Departures,Dying in sea,,,,,,,,,,1,,11,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,,11,7,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-07-27,Written press,Arabic,Mdenine,TN-82,Tunisia
43,,,Movements,Social,,,,,,,jobs,,,,,,,Departures,,,,,,,,,,,,,,,,,,,,,TN-53-Mahdia,35.0,30.0,17,N,11.0,3,44,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,2020-08-01,Written press,Arabic,Mahdia,TN-53,Tunisia
44,2020-07-26,,Movements,,,,,,,,,,,,,,,Departures,Dying in sea,,,,,,,,,,,2,,,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-07-27,Radio,Arabic,Sfax,TN-61,Tunisia
45,2020-10-26,,Movements,,,,,,,,,,,,,,,Departures,Dying in sea,,,,,,,,,,,1,,,,,,,,,TN-82-Mdenine => Zarzis,33.0,30.0,,N,,11,7,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-07-27,Radio,Arabic,Mdenine,TN-82,Tunisia
46,2020-07-26,,Movements,,,,,,,,,,,,,,,Dying in sea,Rescued at sea,Departures,,,,,,,,,,,,,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-07-26,Radio,Arabic,Sfax,TN-61,Tunisia
47,2020-05-13,2020-06-21,Movements,Health,,,infections,,,,,,,,,,,Arrivals through borders,,,,,,,,,,8.0,,,,,,21,,,,,TN-33-Le Kef,36.0,10.0,,N,8.0,42,,E,TN-42-Kasserine,35.0,10,,N,8.0,50.0,,E,TN-32-Jendouba,36.0,30.0,4,N,8.0,46.0,49,E,,,,,,,,,,UK,2020-07-08,Written press,Arabic,Le Kef,TN-33,Tunisia
48,2020-03-23,2020-03-24,Social,Health,,,risk of infections,access to health care,,,OSC actions,NGOs actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,2020-03-24,Written press,Arabic,,,
49,2020-04-04,2020-04-06,Social,Health,,,access to health care,,,,jobs,accomodation,NGOs actions,Details on lockdown,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,46.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,2020-04-09,Written press,Arabic,Tunis,TN-11,Tunisia
50,,,Social,,,,,,,,jobs,accomodation,government actions,OSC actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-05-29,Video,Arabic,,,
51,,,Social,,,,,,,,Details on lockdown,accomodation,,,,,,,,,,,,,,,,,,,,,,,,,,,TN-11-Tunis,46.0,48.0,3,N,10.0,10,48,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,2020-03-23,Written press,Arabic,Tunis,TN-11,Tunisia
