,Article ID,Unnamed: 0.1.1.1,Event Date,Event Type,Event-Type Precision,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
54,7,7,08-07-2020,infections,infections,8.0,,,,,,,,,,,TN-42-Kasserine,35.0,10.0,0,N,8.0,50,0,E,Tunisia,09-07-2020,Written press,Arabic,Kasserine ,TN-42,Tunisia
55,7,7,08-07-2020,infections,infections,8.0,,,,,,,,,,E,,,,,,,,,E,Tunisia,09-07-2020,Written press,Arabic,Kasserine ,TN-42,Tunisia
56,8,8,15-07-2020,Movements,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
57,8,8,15-07-2020,Movements,,,,,,,,,,,,E,,,,,,,,,E,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
60,8,8,15-07-2020,Departures,,,,,,,,,,,,,TN-11-Tunis,36.0,48.0,3,N,10.0,10,48,E,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
61,8,8,15-07-2020,Departures,,,,,,,,,,,,E,,,,,,,,,E,France,19-07-2020,Written press,Arabic,Tunis,TN-11,Tunisia
62,9,9,01-07-2020,Social,,,,,,,,,,,,,TN-52-Monastir,35.0,46.0,0,N,10.0,51,0,E,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
63,9,9,01-07-2020,Social,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
66,9,9,01-07-2020,Details on lockdown,,,,,,,,,,,,,TN-52-Monastir,35.0,46.0,0,N,10.0,51,0,E,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
67,9,9,01-07-2020,Details on lockdown,,,,,,,,,,,,E,,,,,,,,,E,Tunisia,01-07-2020,Radio,Arabic,Monastir,TN-52,Tunisia
