,Article ID,Unnamed: 0.1.1.1,Event Date,Event Type,Event-Type Precision,Number of infected migrants,Number of migrant in quarantine,Number of deaths at sea,Number of deaths when crossing borders,Number of rescued people when crossing borders,Number of arrived people by sea,Number of arrived people through boarders,Number of migrants deaths by COVID -19,Number of migrants healed of COVID-19,Number of people deported on sea,Number of people deported through borders,City 1,Latitude-city1_degrees,Latitude-city1_minutes,Latitude-city1_seconds,Latitude-city1_direction,Longitude-city1_degrees,Longitude-city1_minutes,Longitude-city1_seconds,Longitude-city1_direction,Source-Country,Source-date,Source-Type,Language,City,City code,Country
1817,124,124,04-04-2020,risk of infections,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,04-04-2020,Written press,English,tripoli,LY-TB,Libya
1818,124,124,04-04-2020,risk of infections,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,04-04-2020,Written press,English,tripoli,LY-TB,Libya
1819,124,124,04-04-2020,quarantine,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,04-04-2020,Written press,English,tripoli,LY-TB,Libya
1820,124,124,04-04-2020,quarantine,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,04-04-2020,Written press,English,tripoli,LY-TB,Libya
1821,125,125,11-05-2020,Social,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1822,125,125,11-05-2020,Social,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1825,125,125,11-05-2020,jobs,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1826,125,125,11-05-2020,jobs,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1827,125,125,11-05-2020,Details on lockdown,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1828,125,125,11-05-2020,Details on lockdown,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1829,125,125,11-05-2020,OSC actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1830,125,125,11-05-2020,OSC actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1831,125,125,11-05-2020,government actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1832,125,125,11-05-2020,government actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1833,125,125,11-05-2020,NGOs actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1834,125,125,11-05-2020,NGOs actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1839,125,125,11-05-2020,risk of infections,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1840,125,125,11-05-2020,risk of infections,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1841,125,125,11-05-2020,quarantine,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1842,125,125,11-05-2020,quarantine,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1843,125,125,11-05-2020,access to health care,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1844,125,125,11-05-2020,access to health care,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,12-05-2020,Written press,English,tripoli,LY-TB,Libya
1845,126,126,06-04-2020,Social,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1846,126,126,06-04-2020,Social,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1847,126,126,06-04-2020,Social,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1851,126,126,06-04-2020,jobs,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1852,126,126,06-04-2020,jobs,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1853,126,126,06-04-2020,jobs,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1854,126,126,06-04-2020,Details on lockdown,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1855,126,126,06-04-2020,Details on lockdown,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1856,126,126,06-04-2020,Details on lockdown,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1857,126,126,06-04-2020,OSC actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1858,126,126,06-04-2020,OSC actions,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1859,126,126,06-04-2020,OSC actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1860,126,126,06-04-2020,government actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1861,126,126,06-04-2020,government actions,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1862,126,126,06-04-2020,government actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1863,126,126,06-04-2020,NGOs actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1864,126,126,06-04-2020,NGOs actions,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1865,126,126,06-04-2020,NGOs actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1872,126,126,06-04-2020,risk of infections,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1873,126,126,06-04-2020,risk of infections,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1874,126,126,06-04-2020,risk of infections,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1875,126,126,06-04-2020,access to health care,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1876,126,126,06-04-2020,access to health care,risk of infections,,,,,,,,,,,E,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1877,126,126,06-04-2020,access to health care,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,06-04-2020,Written press,English,tripoli,LY-TB,Libya
1878,127,127,15-04-2020,Social,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1879,127,127,15-04-2020,Social,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1882,127,127,15-04-2020,jobs,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1883,127,127,15-04-2020,jobs,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1884,127,127,15-04-2020,Details on lockdown,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1885,127,127,15-04-2020,Details on lockdown,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1886,127,127,15-04-2020,accomodation,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1887,127,127,15-04-2020,accomodation,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1888,127,127,15-04-2020,government actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1889,127,127,15-04-2020,government actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1890,127,127,15-04-2020,OSC actions,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1891,127,127,15-04-2020,OSC actions,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1896,127,127,15-04-2020,risk of infections,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1897,127,127,15-04-2020,risk of infections,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1898,127,127,15-04-2020,access to health care,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1899,127,127,15-04-2020,access to health care,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1900,127,127,15-04-2020,quarantine,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1901,127,127,15-04-2020,quarantine,risk of infections,,,,,,,,,,,E,,,,,,,,,E,France,22-04-2020,Written press,English,tripoli,LY-TB,Libya
1902,128,128,25-05-2020,Social,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1903,128,128,25-05-2020,Social,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1906,128,128,25-05-2020,jobs,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1907,128,128,25-05-2020,jobs,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1908,128,128,25-05-2020,Details on lockdown,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1909,128,128,25-05-2020,Details on lockdown,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1910,128,128,25-05-2020,government actions,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1911,128,128,25-05-2020,government actions,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1912,128,128,25-05-2020,OSC actions,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1913,128,128,25-05-2020,OSC actions,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1916,128,128,25-05-2020,Arrival by sea,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1917,128,128,25-05-2020,Arrival by sea,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1918,128,128,25-05-2020,Departure by sea,,,,2,,,3400,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,13.0,11,"14,86",E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1919,128,128,25-05-2020,Departure by sea,,,,2,,,3400,,,,,E,,,,,,,,,E,UK,25-05-2020,Written press,English,tripoli,LY-TB,Libya
1920,129,129,05-08-2020,Movements,,,,,62.0,62,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1921,129,129,05-08-2020,Movements,,,,,62.0,62,,,,,,E,TN-61-Sfax => Kerkennah,33.0,44,26,N,10.0,45.0,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1922,129,129,05-08-2020,Movements,,,,,62.0,62,,,,,,E,,,,,,,,,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1926,129,129,05-08-2020,Departures,,,,,62.0,62,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1927,129,129,05-08-2020,Departures,,,,,62.0,62,,,,,,E,TN-61-Sfax => Kerkennah,33.0,44,26,N,10.0,45.0,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1928,129,129,05-08-2020,Departures,,,,,62.0,62,,,,,,E,,,,,,,,,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1932,129,129,05-08-2020,jobs,,,,,62.0,62,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1933,129,129,05-08-2020,jobs,,,,,62.0,62,,,,,,E,TN-61-Sfax => Kerkennah,33.0,44,26,N,10.0,45.0,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1934,129,129,05-08-2020,jobs,,,,,62.0,62,,,,,,E,,,,,,,,,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1935,129,129,05-08-2020,OSC actions,,,,,62.0,62,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1936,129,129,05-08-2020,OSC actions,,,,,62.0,62,,,,,,E,TN-61-Sfax => Kerkennah,33.0,44,26,N,10.0,45.0,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1937,129,129,05-08-2020,OSC actions,,,,,62.0,62,,,,,,E,,,,,,,,,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1938,129,129,05-08-2020,Details on lockdown,,,,,62.0,62,,,,,,,TN-61-Sfax,34.0,44.0,26,N,10.0,45,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1939,129,129,05-08-2020,Details on lockdown,,,,,62.0,62,,,,,,E,TN-61-Sfax => Kerkennah,33.0,44,26,N,10.0,45.0,37,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1940,129,129,05-08-2020,Details on lockdown,,,,,62.0,62,,,,,,E,,,,,,,,,E,France,08-05-2020,Written press,English,Sfax,TN-61,Tunisia
1941,130,130,07-04-2020,Social,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1942,130,130,07-04-2020,Social,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1943,130,130,07-04-2020,Social,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1947,130,130,07-04-2020,jobs,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1948,130,130,07-04-2020,jobs,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1949,130,130,07-04-2020,jobs,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1950,130,130,07-04-2020,Details on lockdown,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1951,130,130,07-04-2020,Details on lockdown,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1952,130,130,07-04-2020,Details on lockdown,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1953,130,130,07-04-2020,accomodation,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1954,130,130,07-04-2020,accomodation,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1955,130,130,07-04-2020,accomodation,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1956,130,130,07-04-2020,government actions,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1957,130,130,07-04-2020,government actions,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1958,130,130,07-04-2020,government actions,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1959,130,130,07-04-2020,OSC actions,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1960,130,130,07-04-2020,OSC actions,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1961,130,130,07-04-2020,OSC actions,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1962,130,130,07-04-2020,NGOs actions,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1963,130,130,07-04-2020,NGOs actions,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1964,130,130,07-04-2020,NGOs actions,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1968,130,130,07-04-2020,Rescued at sea,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1969,130,130,07-04-2020,Rescued at sea,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1970,130,130,07-04-2020,Rescued at sea,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1971,130,130,07-04-2020,Departure by sea,,,,,,,1000,,,,,,ES-ML-Melilla,33.0,23.0,,N,7.0,8,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1972,130,130,07-04-2020,Departure by sea,,,,,,,1000,,,,,W,IT-82-Sicilia => Lampedusa,35.0,31,,N,12.0,35.0,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1973,130,130,07-04-2020,Departure by sea,,,,,,,1000,,,,,E,,,,,,,,,W,France,19-05-2020,Written press,English,Melilla,ES-ML,Spain
1974,131,131,01-04-2020,Health,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1975,131,131,01-04-2020,Health,infections,,,,,,,,,,,E,,,,,,,,,E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1980,131,131,01-04-2020,infections,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1981,131,131,01-04-2020,infections,infections,,,,,,,,,,,E,,,,,,,,,E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1982,131,131,01-04-2020,access to health care,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1983,131,131,01-04-2020,access to health care,infections,,,,,,,,,,,E,,,,,,,,,E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1986,131,131,01-04-2020,Killings,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1987,131,131,01-04-2020,Killings,infections,,,,,,,,,,,E,,,,,,,,,E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1988,131,131,01-04-2020,Armed clashes,infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1989,131,131,01-04-2020,Armed clashes,infections,,,,,,,,,,,E,,,,,,,,,E,USA,07-05-2020,Written press,English,tripoli,LY-TB,Libya
1990,132,132,27-04-2020,Health,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
1991,132,132,27-04-2020,Health,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
1996,132,132,27-04-2020,risk of infections,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
1997,132,132,27-04-2020,risk of infections,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
1998,132,132,27-04-2020,access to health care,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
1999,132,132,27-04-2020,access to health care,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2002,132,132,27-04-2020,Departures,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2003,132,132,27-04-2020,Departures,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2004,132,132,27-04-2020,Rescued when crossing borders,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2005,132,132,27-04-2020,Rescued when crossing borders,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2008,132,132,27-04-2020,Killings,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2009,132,132,27-04-2020,Killings,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2010,132,132,27-04-2020,Kidnap,risk of infections,,,,,,,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2011,132,132,27-04-2020,Kidnap,risk of infections,,,,,,,,,,,E,,,,,,,,,E,USA,27-04-2020,Written press,English,tripoli,LY-TB,Libya
2012,133,133,01-01-2020,Health,infections,,,,,,3200,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,Switzeland,13-05-2020,Written press,English,tripoli,LY-TB,Libya
2013,133,133,01-01-2020,Health,infections,,,,,,3200,,,,,E,,,,,,,,,E,Switzeland,13-05-2020,Written press,English,tripoli,LY-TB,Libya
2018,133,133,01-01-2020,infections,infections,,,,,,3200,,,,,,LY-TB-Tarabulus,32.0,52.0,"32,68",N,7.0,8,"14,86",E,Switzeland,13-05-2020,Written press,English,tripoli,LY-TB,Libya
